alg,family,profile,jws_bytes,cose_bytes,cose_protected_bytes,cose_payload_bytes,cose_sig_bytes,cose_b64url_bytes,savings_binary_pct,savings_in_header_pct,cose_fits_cookie_4096,cose_b64_fits_cookie_4096
RS256,CLASSICAL,minimal-access,737,442,5,162,256,590,40.0,19.9,true,true
RS256,CLASSICAL,oidc-id-token,1041,660,5,379,256,880,36.6,15.5,true,true
RS256,CLASSICAL,enterprise-access,3022,2102,5,1821,256,2803,30.4,7.2,true,true
ES256,CLASSICAL,minimal-access,481,247,3,162,64,330,48.6,31.4,true,true
ES256,CLASSICAL,oidc-id-token,785,465,3,379,64,620,40.8,21.0,true,true
ES256,CLASSICAL,enterprise-access,2766,1907,3,1821,64,2543,31.1,8.1,true,true
EdDSA,CLASSICAL,minimal-access,481,247,3,162,64,330,48.6,31.4,true,true
EdDSA,CLASSICAL,oidc-id-token,785,465,3,379,64,620,40.8,21.0,true,true
EdDSA,CLASSICAL,enterprise-access,2766,1907,3,1821,64,2543,31.1,8.1,true,true
ML-DSA-44,PQ,minimal-access,3627,2605,4,162,2420,3474,28.2,4.2,true,true
ML-DSA-44,PQ,oidc-id-token,3931,2823,4,379,2420,3764,28.2,4.2,true,true
ML-DSA-44,PQ,enterprise-access,5912,4265,4,1821,2420,5687,27.9,3.8,false,false
ML-DSA-65,PQ,minimal-access,4812,3494,4,162,3309,4659,27.4,3.2,true,false
ML-DSA-65,PQ,oidc-id-token,5116,3712,4,379,3309,4950,27.4,3.2,true,false
ML-DSA-65,PQ,enterprise-access,7097,5154,4,1821,3309,6872,27.4,3.2,false,false
ML-DSA-87,PQ,minimal-access,6570,4812,4,162,4627,6416,26.8,2.3,false,false
ML-DSA-87,PQ,oidc-id-token,6874,5030,4,379,4627,6707,26.8,2.4,false,false
ML-DSA-87,PQ,enterprise-access,8855,6472,4,1821,4627,8630,26.9,2.5,false,false
SLH-DSA-SHA2-128s,PQ,minimal-access,10886,8041,4,162,7856,10722,26.1,1.5,false,false
SLH-DSA-SHA2-128s,PQ,oidc-id-token,11190,8259,4,379,7856,11012,26.2,1.6,false,false
SLH-DSA-SHA2-128s,PQ,enterprise-access,13171,9701,4,1821,7856,12935,26.3,1.8,false,false
SLH-DSA-SHA2-128f,PQ,minimal-access,23195,17273,4,162,17088,23031,25.5,0.7,false,false
SLH-DSA-SHA2-128f,PQ,oidc-id-token,23499,17491,4,379,17088,23322,25.6,0.8,false,false
SLH-DSA-SHA2-128f,PQ,enterprise-access,25480,18933,4,1821,17088,25244,25.7,0.9,false,false
