alg,profile,value_bytes,hpack_entry_bytes,huffman_encoded_bytes,huffman_savings_pct,req1_bytes,req2_bytes,req3_bytes,indexable_at_default_table
RS256,minimal-access,744,789,600,19.4,599,1,1,true
RS256,oidc-id-token,1048,1093,847,19.2,846,1,1,true
RS256,enterprise-access,3029,3074,2454,19.0,2453,1,1,true
ES256,minimal-access,488,533,493,-1.0,492,1,1,true
ES256,oidc-id-token,792,837,641,19.1,640,1,1,true
ES256,enterprise-access,2773,2818,2247,19.0,2246,1,1,true
EdDSA,minimal-access,488,533,493,-1.0,492,1,1,true
EdDSA,oidc-id-token,792,837,642,18.9,641,1,1,true
EdDSA,enterprise-access,2773,2818,2248,18.9,2247,1,1,true
ML-DSA-44,minimal-access,3634,3679,2905,20.1,2904,1,1,true
ML-DSA-44,oidc-id-token,3938,3983,3162,19.7,3161,1,1,true
ML-DSA-44,enterprise-access,5919,5964,4755,19.7,4755,4755,4755,false
ML-DSA-65,minimal-access,4819,4864,3853,20.0,3853,3853,3853,false
ML-DSA-65,oidc-id-token,5123,5168,4101,19.9,4101,4101,4101,false
ML-DSA-65,enterprise-access,7104,7149,5713,19.6,5713,5713,5713,false
ML-DSA-87,minimal-access,6577,6622,5252,20.1,5252,5252,5252,false
ML-DSA-87,oidc-id-token,6881,6926,5503,20.0,5503,5503,5503,false
ML-DSA-87,enterprise-access,8862,8907,7109,19.8,7109,7109,7109,false
SLH-DSA-SHA2-128s,minimal-access,10893,10938,8703,20.1,8703,8703,8703,false
SLH-DSA-SHA2-128s,oidc-id-token,11197,11242,8964,19.9,8964,8964,8964,false
SLH-DSA-SHA2-128s,enterprise-access,13178,13223,10577,19.7,10577,10577,10577,false
SLH-DSA-SHA2-128f,minimal-access,23202,23247,18566,20.0,18566,18566,18566,false
SLH-DSA-SHA2-128f,oidc-id-token,23506,23551,18799,20.0,18799,18799,18799,false
SLH-DSA-SHA2-128f,enterprise-access,25487,25532,20391,20.0,20391,20391,20391,false
